Zona;Subzona;Canton;Presunta_Subinfraccion;Fecha de Detencion;Flagrante/Boleta;Sexo;Edad;Nacionalidad
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;34;ECUADOR
ZONA 1;IMBABURA;IBARRA;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;47;COLOMBIA
ZONA 8;DMG;GUAYAQUIL;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;36;ECUADOR
ZONA 8;DMG;GUAYAQUIL;ASOCIACION ILICITA;08-01-16;BOLETA;HOMBRE;52;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;08-01-16;BOLETA;MUJER;38;ECUADOR
ZONA 9;DMQ;QUITO;ASOCIACION ILICITA;08-01-16;BOLETA;MUJER;31;ECUADOR
ZONA 9;DMQ;QUITO;PLAGIO O SECUESTRO PERSONAS;08-01-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;08-01-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 2;NAPO;TENA;VARIOS;08-01-16;BOLETA;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;08-01-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;08-01-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;08-01-16;FLAGRANTE;HOMBRE;53;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;09-01-16;FLAGRANTE;HOMBRE;20;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;09-01-16;FLAGRANTE;HOMBRE;22;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;09-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;09-01-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A UNIDADES ECONOMICAS;09-01-16;FLAGRANTE;MUJER;18;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;09-01-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;09-01-16;BOLETA;HOMBRE;54;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;09-01-16;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;09-01-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;USURPACION FUNCIONES/SUPLANTACION DE IDENTIDAD;09-01-16;FLAGRANTE;HOMBRE;32;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;09-01-16;FLAGRANTE;HOMBRE;27;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;09-01-16;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;09-01-16;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;09-01-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;REBELION Y ATENTADO;09-01-16;FLAGRANTE;MUJER;32;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;09-01-16;FLAGRANTE;HOMBRE;18;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;10-01-16;FLAGRANTE;HOMBRE;30;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;MUJER;35;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;HOMBRE;21;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;10-01-16;FLAGRANTE;HOMBRE;31;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;10-01-16;FLAGRANTE;HOMBRE;19;ECUADOR
ZONA 9;DMQ;QUITO;HERIDAS/LESIONES;10-01-16;FLAGRANTE;HOMBRE;38;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;BOLETA;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;HOMBRE;42;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;HOMBRE;37;ECUADOR
ZONA 9;DMQ;QUITO;HOMICIDIO;10-01-16;FLAGRANTE;HOMBRE;33;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;10-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;VARIOS;11-01-16;FLAGRANTE;HOMBRE;26;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;11-01-16;FLAGRANTE;HOMBRE;24;COLOMBIA
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;11-01-16;FLAGRANTE;HOMBRE;29;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;11-01-16;FLAGRANTE;HOMBRE;35;ECUADOR
ZONA 9;DMQ;QUITO;TENENCIA ILEGAL ARMAS/EXPLOSIVOS;11-01-16;FLAGRANTE;HOMBRE;34;ECUADOR
ZONA 9;DMQ;QUITO;ROBO A PERSONAS;11-01-16;FLAGRANTE;HOMBRE;23;ECUADOR
ZONA 9;DMQ;QUITO;TENTATIVA DE ROBO;11-01-16;FLAGRANTE;HOMBRE;32;COREA
